_id,toponimo,n_id,estado,tipo_estac,sinal_vert,sinal_info_vert,n_lugares,pictograma,objectid,globalid,esriGeometryPoint
1,Pátio do Bolhão,218,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,1,{37F0CF74-4858-4DD5-A881-2273B2F20A3E},"-39750.45849999972,164830.97279999964"
2,Rua do Engenheiro Ferreira Dias,142,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,2,{E4A90D10-E61F-4444-8452-7077501F3682},"-43236.79829999991,167663.66449999996"
3,Rua de D. João Coutinho,143,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Não,3,{5DDBFD03-19E9-4E93-8736-B19DD43698A5},"-43047.1436999999,167659.34229999967"
4,Rua de Júlio Dinis,176,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,4,{A7E63E49-4A57-4F4A-93A3-337018B811A3},"-41371.74469999969,164729.46890000068"
5,Rua da Infanta D. Maria,158,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,5,{189AB8D4-CD62-4920-BE20-93DF832E1003},"-41024.79889999982,165640.40059999935"
6,Avenida da Boavista,83,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,6,{A2653849-43C8-4042-AB3F-F591D6779BCD},"-41261.373200000264,165459.22309999913"
7,Alameda de Eça de Queirós,42,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,7,{C84C2895-5884-4A04-90ED-FE61B67C37E2},"-38656.83609999996,166026.7455000002"
8,Rua de Álvares Cabral,155,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,8,{19738B44-97B6-4BC7-87B9-074BA2411FEA},"-40740.22329999972,165215.0792999994"
9,Rua de 31 de Janeiro,57,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,9,{99FFB637-A471-4F49-8764-FE6A5A8EF5FB},"-39812.62289999984,164220.9447000008"
10,Praça de Mouzinho de Albuquerque,86,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,10,{7CFEE26E-B86C-4814-AADC-4B7D11E6010D},"-41595.12959999964,165641.71079999954"
11,Rua de Vilar,72,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,11,{029781E2-004D-40C4-BD80-853D41743EC8},"-41439.286799999885,164529.82609999925"
12,Rua de Mouzinho da Silveira,123,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Não,12,{352F4411-B9D3-4E98-9090-5562148961D8},"-40318.80240000039,163915.99579999968"
13,Rua do Professor Vicente José de Carvalho,70,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,14,{B8155D7E-28B8-4EBE-B051-F4E3E34C76AE},"-40710.06049999967,164425.4179999996"
14,Rua Tareija Vaz de Altaro,120,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,20,Sim,15,{1E057DEC-0AA8-4F6F-80C8-EA91C61920B0},"-40096.07309999969,163938.1654000003"
15,Avenida do Marechal Gomes da Costa,102,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,16,{5209BAAD-ABDC-49E8-8E59-EC53F9108F9C},"-45203.63949999958,165281.77449999936"
16,Rua de Gonçalo Cristóvão,163,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,17,{F8467A77-0BEB-433C-9D2B-38524BBB89F3},"-39654.177799999714,165021.37969999947"
17,Largo de Ferreira Lapa,81,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,18,{9E011884-56CA-4D2D-81C2-662E70CEAB82},"-41578.47369999997,165277.6995000001"
18,Rua da Constituição,151,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,19,{6E9AFC39-5158-41CE-9BF0-574197BFF309},"-39736.47269999981,165988.14330000058"
19,Rua da Restauração,172,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,20,{31ED660A-7AEF-4065-9849-F5F4CCBB818E},"-41404.425300000235,164144.66330000013"
20,Rua D. Frei Vicente da Soledade e Castro,18,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,21,{EB03D2B0-8D49-4DF8-BF97-D7CF7F70CFF6},"-38858.058899999596,167637.6638999991"
21,Praça de Nove de Abril,21,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,22,{32729E47-8170-483F-85B3-287ECDF5B022},"-40122.94579999987,167159.24210000038"
22,Rua de Domingos Machado,193,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,23,{4BDB45A8-738E-4929-85FE-0261E0124A9A},"-41880.6277999999,166354.7633999996"
23,Rua do Almirante Leote do Rego,115,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,24,{5A7C168A-17B1-4769-B9A2-C65B87B6D748},"-40330.99270000029,166339.39189999923"
24,Rua Professor José Augusto Seabra,122,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,26,{61A861F4-1DA7-4FDD-AA20-A9C415475664},"-41621.359899999574,165892.96429999918"
25,Rua de Cinco de Outubro,85,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,27,{A6740D5B-39BF-4B62-B8CF-647AFF584BAA},"-41711.686099999584,165660.76439999975"
26,Praça do Bom Sucesso,80,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,28,{806FA333-C272-4553-90B7-A829D11D67AA},"-41663.960799999535,165268.41259999946"
27,Rua do Breiner,159,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,29,{584F478B-7A97-4F0F-AF54-58574276B4BC},"-40704.23979999963,164816.61950000003"
28,Rua de Azevedo Coutinho,217,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,30,{281349FA-A86A-4F52-BEAF-02A4B87D5BC6},"-43098.06240000017,165894.8013000004"
29,Rua de Ferreira Borges,124,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,20,Sim,31,{77F57D66-106B-4300-B89E-716C852DE521},"-40476.49179999996,163788.1729000006"
30,Rua de Sobreiras,180,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,32,{BFC4D0AF-7BDD-4571-ADE8-510EFB21236D},"-44292.129399999976,164372.0781999994"
31,Praça da Corujeira,133,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,33,{923E3679-D953-484B-8E07-D489CB9AC704},"-37466.18290000036,165327.35419999994"
32,Rua Henrique de Sousa Reis,211,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,34,{E614E2CE-3C03-4FC0-8D90-7D68E1938604},"-38341.99459999986,167674.5809000004"
33,Rua de Gonçalo Sampaio,82,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,35,{A25110C5-EA45-4924-A5E4-19AAFA9BB703},"-41712.90020000003,165268.67109999992"
34,Rua da Travagem,194,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,36,{90542A6D-9C76-4957-8F96-446DFD1A21F5},"-42213.59339999966,166377.79539999925"
35,Via Panoramica,74,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,37,{65E929F3-6486-4A36-A998-6A4D7042BCF2},"-42252.623700000346,164647.35810000077"
36,Rua das Estrelas,75,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,38,{69167BB6-35E9-4DAB-A225-0B3C12F5AB74},"-42487.167100000195,164719.0680999998"
37,Rua do Professor Bento de Jesus Caraça,43,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,39,{B35D6036-1127-4047-9659-3AFC02B3C8B9},"-39004.40390000027,166081.76549999975"
38,Avenida do Dr. Antunes Guimarães,96,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,10,Sim,40,{34909E1A-9CF1-431C-9B7D-A040EEC64CB4},"-44420.44060000032,166252.33720000088"
