,year,,,,,,,,,,,,,
Values,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,Grand Total
SUM of post_offices,18914,18423.8,18033.7,16781.3,16869.3,18068,15608.3,14607.2,14600.8,14627,14674.8,12395.4,12429.3,206032.9
SUM of mobility_sharing_points,219,0,0,0,0,0,0,0,0,0,0,0,0,219
SUM of mobility_parking_points,2375,,,,,,,,,,,,,
mobilitysharing_points by parish,,,,,,,,,,,,,,
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",74,,,,,,,,,,,,,
Ramalde,29,,,,,,,,,,,,,
União das freguesias de Lordelo do Ouro e Massarelos,37,,,,,,,,,,,,,
Bonfim,16,,,,,,,,,,,,,
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",26,,,,,,,,,,,,,
Paranhos,25,,,,,,,,,,,,,
Campanhã,12,,,,,,,,,,,,,
